DATE,lag_days
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,17.0
2020-02-16,34.0
2020-02-17,34.0
2020-02-18,34.0
2020-02-19,34.0
2020-02-20,34.0
2020-02-21,34.0
2020-02-22,34.0
2020-02-23,34.0
2020-02-24,34.0
2020-02-25,34.0
2020-02-26,34.0
2020-02-27,34.0
2020-02-28,34.0
2020-02-29,34.0
2020-03-01,34.0
2020-03-02,34.0
2020-03-03,34.0
2020-03-04,34.0
2020-03-05,34.0
2020-03-06,34.0
2020-03-07,34.0
2020-03-08,34.0
2020-03-09,34.0
2020-03-10,34.0
2020-03-11,34.0
2020-03-12,34.0
2020-03-13,34.0
2020-03-14,34.0
2020-03-15,34.0
2020-03-16,34.0
2020-03-17,34.0
2020-03-18,33.0
2020-03-19,32.0
2020-03-20,31.0
2020-03-21,30.0
2020-03-22,29.0
2020-03-23,28.0
2020-03-24,27.0
2020-03-25,26.0
2020-03-26,25.0
2020-03-27,24.0
2020-03-28,23.0
2020-03-29,22.0
2020-03-30,21.0
2020-03-31,20.0
2020-04-01,19.0
2020-04-02,18.0
2020-04-03,17.0
2020-04-04,16.0
2020-04-05,15.0
2020-04-06,14.0
2020-04-07,13.0
2020-04-08,12.0
2020-04-09,11.0
2020-04-10,10.0
2020-04-11,9.0
2020-04-12,8.0
2020-04-13,7.0
2020-04-14,6.0
2020-04-15,5.0
2020-04-16,4.0
2020-04-17,3.0
2020-04-18,2.0
2020-04-19,1.0
2020-04-20,0.0
2020-04-21,-1.0
2020-04-22,-2.0
2020-04-23,-3.0
2020-04-24,-4.0
2020-04-25,-5.0
2020-04-26,-6.0
2020-04-27,-7.0
2020-04-28,-8.0
2020-04-29,-9.0
2020-04-30,-10.0
2020-05-01,-11.0
2020-05-02,-12.0
2020-05-03,-13.0
2020-05-04,-14.0
2020-05-05,-15.0
2020-05-06,-16.0
2020-05-07,-17.0
2020-05-08,-18.0
2020-05-09,-19.0
2020-05-10,-20.0
2020-05-11,-21.0
2020-05-12,-22.0
2020-05-13,-23.0
2020-05-14,-24.0
2020-05-15,-25.0
2020-05-16,-26.0
2020-05-17,-27.0
2020-05-18,-28.0
2020-05-19,-29.0
2020-05-20,-30.0
2020-05-21,-30.0
2020-05-22,-30.0
2020-05-23,-30.0
2020-05-24,-31.0
2020-05-25,-31.0
2020-05-26,-31.0
